HIV-abbott,"ABBOTT, HIV device 25's",box
HIV-abbott,"ABBOTT, HIV device 30's",box
HIV-abbott,"ABBOTT, HIV device 100's",box
Abbott-Dengue,"ABBOTT, Dengue IgG & IgM Strips 25's",box
Abbott-Dengue Duo,"ABBOTT, Dengue duo cassette 10's",box
Abbott-Ns1,"ABBOTT, Dengue NS1 25's",box
Abbott-Drugtest,"ABBOTT,Dual Drug test (MET/THC) cassette 25's",box
Abbott-Hepatitis A,"ABBOTT, HAV Igg/Igm cassette 25's",box
Abbott-Hepatitis B,"ABBOTT, HBsAg cassette 30's",box
Abbott-Hepatitis B,Hisen's HBSAG Strips 100's (2vials x 50's),box
Malaria,"ABBOTT, Malaria Antigen device 25's",box
Pregnancy test,Wondfo Urine/Serum 25's,box
Pregnancy test,"Partners, Pregnancy Test 100's",box
Syphilis,"ABBOTT, Syphillis 3.0 test, cassette 30's",box
Syphilis,"ABBOTT, Syphillis 3.0 test, multi device 100's",box
Salmonella,"ABBOTT,Salmonella Igg/Igm 25's US",box
SARS-COVID (Rapid Test),Abbott (Naso and Nasal) Antigen 25's,box
SARS-COVID (Swab Test),Wondfo 20s -Retail/box,box
SARS-COVID (Swab Test),Joinstar 25's,box
SARS-COVID (Swab Test),Acon Flowflex 25's,box
SARS-COVID (Swab Test),Joysbio 25's,box
Dengue DUO,Sd Biosensor Dengue NS1 Ag+Ab Combo - SD-Q 10'S,box
Dengue,Sd Biosensor Dengue NS1- SD - Q 25's,box
Dengue,Sd Biosensor Dengue IgG/IgM - SD - Q 25's,box
SARS-COVID (Swab Test),SD Biosensor Antigen Test Covid 25's,box
Salmonella Typhi,Reszon Typhoid Rapid IgG/IgM COMBO 25's,box
Wondfo-Drugtest,Drug test kit Wondfo MET/TCH URINE test 25's,box
typhidot,Reszon typhidot 25's,box
Pregnancy test,RightSign Preg Test Urine,box
Pregnancy test,RightSign Preg test urine/serum,box
Drug test,RightSign Drug Testing - MET/THC,box
Dengue DUO,RightSign Dengue DUO,box
Dengue,RightSign Dengue IgG/IgM,box
HbsAg,RightSign HbsAg Cassette,box
HbsAg,RightSign HbsAg Strips,box
HAV,RightSign HAV,box
HCV,RightSign HCV,box
HIV,RightSign HIV 25's,box
Syphilis,RightSign Syphilis (VDRL) 50's,box
Fecal Occult Blood Test,RightSign Fecal Occult Blood Test,box
Troponin I,RightSign Troponin I,box
H.pylori Ab,RightSign H.pylori Ab,box
H.pylori Ag,RightSign H.pylori Ag,box
COVID Rapid Antigen,RightSign COVID Rapid Antigen,box
Dengue,DENGUE AG,box
Dengue,CTK DENGUE DUO,box
Dengue,CTK DENGUE IGG/IGM,box
FOB,CTK FOB,box
H.pylori Ab,CTK H.PYLORI AB,box
H.pylori Ag,CTK H.PYLORI AG,box
HAV,CTK HAV IGM,box
HABSAG COMBO,CTK HBSAG COMBO,box
HBSAG STRIPS,CTK HBSAG STRIPS,box
HCG,CTK HCG COMBO,box
HCV AB PLUS,CTK HCV AB PLUS,box
HIV 1/2 AB PLUS,CTK HIV 1/2 AB PLUS,box
LEPTOSPIRA AB,CTK LEPTOSPIRA AB,box
Malaria,CTK MALARIA PF/PV AB,box
Malaria,CTK MALARIA PF/PV AG,box
PSA,CTK PSA,box
SYPHILIS AB,CTK SYPHILIS AB,box
TROPONIN I,CTK TROPONIN I,box
TYPHOID COMBO,CTK TYPHOID COMBO,box
